,Genome,Genus,Species,AA10,AA3,CBM0,CBM13,CBM18,CBM3,CBM32,CBM4,CBM48,CBM5,CBM50,CBM63,CBM67,CBM91,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH0,GH1,GH102,GH103,GH104,GH105,GH106,GH108,GH113,GH12,GH121,GH127,GH13,GH140,GH146,GH148,GH15,GH153,GH154,GH16,GH18,GH19,GH2,GH23,GH24,GH25,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH37,GH38,GH39,GH4,GH42,GH43,GH5,GH51,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT0,GT1,GT101,GT102,GT11,GT111,GT14,GT19,GT2,GT20,GT21,GT24,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL0,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL35,PL38,PL4,PL9
27,GCA_001742145.1,Pectobacterium,parmentieri,0,0,0,1,0,1,1,0,2,1,6,1,0,3,1,1,1,0,1,2,2,0,8,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,6,1,0,0,3,3,0,1,1,1,2,0,1,0,0,2,3,1,0,2,1,0,3,1,0,1,0,0,0,2,1,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,6,0,1,3,0,1,0,2,0,1,0,3,0,0,5,0,0,0,2,1,1,1,0,1,1,2
28,GCA_016944555.1,Pectobacterium,brasiliense,0,1,0,1,0,1,3,0,1,1,6,1,0,2,1,1,2,0,1,2,1,1,10,1,2,1,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,10,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,0,6,0,0,0,2,1,0,2,0,1,1,2
29,GCA_000808495.1,Pectobacterium,carotovorum subsp. carotovorum,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,2,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,1,0,1,3,0,1,0,1,1,1,1,3,0,0,6,0,1,0,2,1,1,2,0,0,1,2
30,GCA_016950275.1,Pectobacterium,parmentieri,0,0,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,2,0,7,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,7,0,0,0,3,3,0,1,1,1,2,0,1,0,0,2,3,1,0,2,1,0,3,1,0,1,0,0,0,1,1,0,0,1,0,0,1,10,0,0,0,0,1,1,1,0,2,6,0,1,3,0,1,0,2,0,1,0,3,0,0,5,0,0,0,2,1,1,1,0,0,1,2
31,GCA_922011615.1,Pectobacterium,versatile,0,1,0,1,0,1,2,0,2,1,6,1,1,0,1,1,1,0,1,2,1,0,11,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,6,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
32,GCA_003594995.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,3,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
33,GCA_016106725.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,8,1,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,0,2,3
34,GCA_016949155.1,Pectobacterium,brasiliense,0,1,0,1,0,1,3,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,7,2,0,0,4,2,1,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
35,GCA_003269875.1,Lonsdalea,populi,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,1,0,1,0,3,1,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,1,2,0,1,2,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,1,7,2,0,0,0,1,1,1,0,0,8,0,0,3,0,1,0,0,1,0,1,4,0,0,2,0,0,0,0,0,0,1,0,0,0,1
36,GCA_000754715.1,Pectobacterium,odoriferum,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,0,2,1,0,9,1,1,1,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,10,4,0,0,4,2,0,0,2,1,0,0,1,0,3,1,1,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,6,1,1,3,0,1,0,2,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
37,GCA_000803215.1,Pectobacterium,fontis,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,3,1,1,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,2,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,1,7,0,0,0,0,1,1,1,0,2,1,0,1,3,1,1,0,2,0,1,0,3,0,0,3,0,1,0,2,1,1,1,0,0,2,2
38,GCA_015709085.1,Pectobacterium,carotovorum subsp. carotovorum PCCS1,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,9,1,2,0,2,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,1,7,2,0,0,5,2,0,1,1,1,0,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,7,0,0,0,0,1,1,1,0,2,1,1,1,3,0,1,0,4,1,1,0,4,0,0,6,0,0,0,2,1,1,2,1,0,1,2
39,GCA_025840185.1,Brenneria,sp. KBI 423,0,1,0,0,0,1,0,0,2,1,6,1,0,0,0,1,1,0,1,0,1,0,3,1,1,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,4,1,0,0,0,1,1,1,1,2,8,0,1,3,0,1,0,2,1,0,1,3,0,0,1,0,0,0,1,1,0,2,0,0,0,0
40,GCA_922016725.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,0,1,1,1,0,1,2,1,0,10,1,1,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,7,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,6,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,1,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
41,GCA_016950075.1,Pectobacterium,brasiliense,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,2,1,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,1,1,1,1,0,2,5,0,1,3,0,1,0,1,1,1,0,4,0,0,6,0,0,0,2,1,1,2,0,0,1,2
42,GCA_020423085.1,Pectobacterium,versatile,0,1,0,1,0,1,1,0,2,1,6,1,0,1,1,1,1,0,1,2,1,0,10,1,1,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,0,3,2,0,1,2,1,1,0,1,0,1,1,2,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,9,0,0,0,0,1,1,1,1,2,4,1,1,3,1,1,0,2,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,1,1,2
43,GCA_018361085.1,Dickeya,dianthicola,0,0,0,0,0,0,1,0,2,2,6,2,0,1,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,9,1,0,0,3,3,0,1,2,1,1,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,1,11,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,0,7,0,0,0,1,1,1,2,0,1,2,3
44,GCA_022761095.1,Musicola,keenii,0,0,0,0,0,0,1,0,2,2,6,1,0,0,1,1,1,0,1,1,1,0,8,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,5,0,0,0,2,2,1,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,5,0,0,0,0,1,1,1,0,2,4,0,1,3,0,1,0,0,1,1,0,4,0,0,6,0,0,0,1,1,0,0,0,0,0,3
45,GCA_002904145.1,Pectobacterium,odoriferum,0,1,0,1,0,1,2,0,2,1,6,1,0,0,1,1,1,0,0,2,1,0,9,1,1,0,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,8,3,0,0,4,2,0,0,2,1,0,0,1,0,3,1,1,1,0,2,0,0,1,1,0,1,0,0,1,2,1,0,0,0,0,0,1,5,0,0,0,0,1,1,1,0,2,5,1,1,3,0,1,0,2,1,1,1,3,0,0,6,0,0,0,2,1,1,2,0,0,1,2
46,GCA_016949545.1,Pectobacterium,brasiliense,0,1,0,1,0,1,3,0,2,1,6,1,0,0,1,1,2,0,1,2,1,0,10,1,2,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,8,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,1,1,0,4,0,0,6,0,0,0,2,1,0,2,0,0,1,2
47,GCA_024722495.1,Pectobacterium,parvum,1,1,1,1,0,1,1,0,2,1,6,1,0,1,1,1,1,0,1,2,1,0,7,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,8,3,0,0,4,2,0,1,1,1,1,0,1,0,1,1,2,1,0,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,7,0,0,0,0,1,1,1,1,2,4,1,1,4,1,1,0,1,1,1,0,3,0,0,5,0,1,0,2,1,0,1,0,1,1,2
48,GCA_000406265.1,Dickeya,dadantii NCPPB 3537,0,1,0,0,0,0,1,0,2,2,6,1,0,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,5,0,0,1,2,3,2,1,1,2,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,1,9,0,0,0,0,0,1,1,0,2,5,1,1,3,0,0,0,0,1,1,0,4,0,0,8,0,0,0,1,1,1,3,0,0,1,3
49,GCA_016944315.1,Pectobacterium,brasiliense,0,1,0,1,0,1,1,0,2,1,6,1,0,2,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,2,0,1,1,1,1,0,1,0,1,1,3,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,1,1,1,1,0,2,6,0,1,3,0,1,0,1,1,1,0,4,0,0,6,0,0,0,2,1,1,2,0,1,1,2
